id,address,square,price,Response_X,Response_Y
97,台北市-中正區 延平南路X號,43,95000,121.510995,25.04667
98,台北市-大安區 富陽街87巷X號,46,58000,121.556823,25.021437
99,台北市-萬華區 康定路X號1樓,55,120000,121.503424,25.046168
100,台北市-大安區 忠孝東路四段X號1樓,30,350000,121.54399,25.041391
101,台北市-中山區 農安街X號B1樓,131,130000,121.522755,25.064856
102,台北市-中山區 新生北路二段X號,60,97000,121.527785,25.053913
103,台北市-中山區 中山北路一段X號,50,250000,121.519611,25.046198
104,台北市-大安區 建國南路二段X號,20,75000,121.538203,25.033078
105,台北市-萬華區 漢中街X號,50,230000,121.50778,25.045814
107,台北市-大安區 忠孝東路四段X號,20,100000,121.54399,25.041391
108,台北市-中山區 民權西路X號,100,250000,121.521424,25.062585
109,台北市-中山區 民權東路三段X號,34,180000,121.537921,25.062144
111,台北市-大同區 華陰街X號1樓,50,120000,121.520682,25.049055
112,台北市-大安區 仁愛路四段X號,20,100000,121.544882,25.038231
113,台北市-大安區 敦化南路一段236巷X號,70,380000,121.547783,25.040462
114,台北市-中山區 復興北路36巷X號,30,70000,121.543453,25.049248
115,台北市-中山區 錦州街175巷X號,30,50000,121.530719,25.06065
116,台北市-松山區 南京東路五段X號1樓,44,220000,121.558091,25.05132
117,台北市-松山區 民生東路三段X號1樓,100,150000,121.539794,25.058057
118,台北市-松山區 民生東路三段X號1樓,70,110000,121.539794,25.058057
119,台北市-信義區 吳興街X號1樓,70,72800,121.559719,25.031618
120,台北市-大安區 復興南路二段X號1樓,40,50000,121.543792,25.032595
121,台北市-大安區 復興南路一段X號,30,160000,121.544131,25.047256
122,台北市-大安區 延吉街X之X號,25,95000,121.553298,25.047912
123,台北市-大安區 龍泉街X號,30,200000,121.529402,25.02486
124,台北市-中山區 松江路X號,31,100000,121.533131,25.045912
125,台北市-中山區 松江路330巷X號,31,100000,121.530704,25.061146
126,台北市-大同區 南京西路X號,50,230000,121.521814,25.052535
127,台北市-信義區 松仁路X號,30,60000,121.569086,25.038251
128,台北市-大安區 安和路二段X號,20,95000,121.552583,25.031251
129,台北市-中正區 師大路X號,50,160000,121.528652,25.024416
130,台北市-信義區 忠孝東路四段559巷16弄X號,20,80000,121.563807,25.042237
131,台北市-中山區 南京東路三段X號6樓,165,264000,121.537948,25.051784
132,台北市-信義區 光復南路116巷X號1樓,10,48000,121.556862,25.043112
133,台北市-中山區 林森北路X號,129,285000,121.523746,25.045626
134,台北市-中山區 遼寧街X號,40,70000,121.542028,25.047496
135,台北市-大安區 敦化南路一段160巷X號,45,100000,121.546641,25.043676
136,台北市-松山區 八德路四段X號,36,120000,121.558111,25.048117
137,台北市-中山區 興安街X號1樓,26,130000,121.537372,25.056105
138,台北市-松山區 八德路三段X號,20,85000,121.549328,25.047842
139,台北市-大安區 敦化南路一段187巷X號,30,350000,121.551437,25.042759
140,台北市-信義區 忠孝東路五段X號,30,150000,121.565242,25.041292
141,台北市-信義區 忠孝東路五段X號,25,120000,121.565242,25.041292
142,台北市-大安區 仁愛路三段X號,80,85000,121.533477,25.038445
143,台北市-中正區 八德路一段X號,30,150000,121.529111,25.04429
144,台北市-松山區 南京東路三段X號,40,200000,121.537948,25.051784
145,台北市-中正區 羅斯福路三段X號,50,140000,121.524659,25.023391
146,台北市-中正區 忠孝西路一段X號,20,115000,121.517531,25.045727
147,台北市-信義區 忠孝東路五段X號,30,118000,121.565242,25.041292
148,台北市-中山區 興安街X號,27,130000,121.537372,25.056105
149,台北市-大安區 大安路一段X號,30,165000,121.546008,25.044847
150,台北市-大安區 復興南路一段X號,35,195000,121.544131,25.047256
151,台北市-大安區 大安路一段X號,15,88000,121.546008,25.044847
152,台北市-中正區 寧波西街X號,30,98000,121.518813,25.031389
153,台北市-中山區 林森北路X號,45,73000,121.523746,25.045626
154,台北市-信義區 基隆路二段X號,26,50000,121.559289,25.032233
155,台北市-中山區 長春路X之X號,180,360000,121.52359,25.054858
156,台北市-大安區 大安路一段31巷X號,60,200000,121.547581,25.044095
157,台北市-大安區 復興南路二段78巷X號,41,85000,121.540903,25.031052
158,台北市-大安區 忠孝東路四段205巷29弄X號,30,180000,121.552049,25.043183
159,台北市-信義區 信義路四段X號,75,150000,121.544127,25.033562
160,台北市-松山區 民權東路三段106巷15弄X號,70,110000,121.545672,25.060064
161,台北市-松山區 民權東路三段106巷15弄X號,191,230000,121.545672,25.060064
162,台北市-中山區 中山北路二段X號1樓,61.93,150000,121.522373,25.052663
163,台北市-信義區 富陽街72巷X號1樓,35.84,55000,121.556065,25.022187
164,台北市-大同區 重慶北路一段83巷X號1樓,45.07,40000,121.51498,25.052765
